Role,Company,Location,County,Industry,Salary,Salary Min,Salary Max,Work Type,Apply URL,Notes,Status,Source,First Listed,Last Verified
Software Engineer - Backend,Booking.com,Manchester,Greater Manchester,Travel Tech / OTA,"£55,000 – £75,000 (est.)",55000,75000,Hybrid,https://jobs.booking.com/booking/jobs/26691?lang=en-us,Java/Perl backend for the world's largest OTA. 4-day office presence.,Live,Career page,2026-05-05,2026-05-05
Junior Software Engineer II - Graduate Programme 2026,Booking.com,Manchester,Greater Manchester,Travel Tech / OTA,"£35,000 – £40,000 (est.)",35000,40000,Hybrid,https://jobs.booking.com/booking/jobs/27808?lang=en-us,12-month rotational grad scheme starting Sept 2026. Java/JS/React.,Live,Career page,2026-05-05,2026-05-05
Principal Frontend Engineer,Matillion,Manchester,Greater Manchester,Data / Cloud SaaS,"£85,000 – £105,000 (est.)",85000,105000,Hybrid,https://jobs.lever.co/matillion,Architect frontend at scale across the Matillion data productivity platform.,Live,Career page,2026-05-05,2026-05-05
Senior Staff Software Engineer - FrontEnd,Matillion,Manchester,Greater Manchester,Data / Cloud SaaS,"£90,000 – £110,000 (est.)",90000,110000,Hybrid,https://jobs.lever.co/matillion,Senior staff IC role on the data productivity platform.,Live,Career page,2026-05-05,2026-05-05
Principal Software Engineer,Matillion,Manchester,Greater Manchester,Data / Cloud SaaS,"£85,000 – £105,000 (est.)",85000,105000,Hybrid,https://jobs.lever.co/matillion,Backend platform principal. Java/Cloud.,Live,Career page,2026-05-05,2026-05-05
AI Architect,Matillion,Manchester,Greater Manchester,Data / Cloud SaaS,"£90,000 – £115,000 (est.)",90000,115000,Hybrid,https://jobs.lever.co/matillion,Designs and integrates LLM/agentic workflows. AI premium applies.,Live,Career page,2026-05-05,2026-05-05
Lead Software Engineer - Web Development,Royal London Group,Alderley Park,Cheshire,Insurance / Financial Services,"£75,000 – £95,000 (est.)",75000,95000,Hybrid,https://jobs.royallondon.com/job/Alderley-Edge-Lead-Software-Engineer/1169878401/,Mutual insurer building 80+ FTE engineering capability at Alderley Park.,Live,Career page,2026-05-05,2026-05-05
Senior Front End Software Engineer,Royal London Group,Alderley Park,Cheshire,Insurance / Financial Services,"£60,000 – £75,000 (est.)",60000,75000,Hybrid,https://jobs.royallondon.com/job/Alderley-Edge-Senior-Software-Engineer/1233706401/,React/TypeScript front end on customer platforms.,Live,Career page,2026-05-05,2026-05-05
Software Development Engineer in Test,Royal London Group,Alderley Park,Cheshire,Insurance / Financial Services,"£50,000 – £65,000 (est.)",50000,65000,Hybrid,https://jobs.royallondon.com/,SDET role in the wider Alderley Park engineering build-out.,Live,Career page,2026-05-05,2026-05-05
Senior Java Developer,Royal London Group,Alderley Park,Cheshire,Insurance / Financial Services,"£60,000 – £80,000 (est.)",60000,80000,Hybrid,https://jobs.royallondon.com/,"Kubernetes, NoSQL/MongoDB, TDD.",Live,Career page,2026-05-05,2026-05-05
